section_name,short_description,about,suggested_actions
MAP 3.5,"Processes for human oversight are defined, assessed, and documented in accordance with organizational policies from GOVERN function.","As AI systems have evolved in accuracy and precision, computational systems have moved from being used purely for decision support—or for explicit use by and under the control of a human operator—to automated decision making with limited input from humans. Computational decision support systems augment another, typically human, system in making decisions.These types of configurations increase the likelihood of outputs being produced with little human involvement. 84 of 142 Defining and differentiating various human roles and responsibilities for AI systems’ governance, and differentiating AI system overseers and those using or interacting with AI systems can enhance AI risk management activities. In critical systems, high-stakes settings, and systems deemed high-risk it is of vital importance to evaluate risks and effectiveness of oversight procedures before an AI system is deployed. Ultimately, AI system oversight is a shared responsibility, and attempts to properly authorize or govern oversight practices will not be effective without organizational buy-in and accountability mechanisms, for example those suggested in the GOVERN function.","• Identify and document AI systems’ features and capabilities that require human oversight, in relation to operational and societal contexts, trustworthy characteristics, and risks identified in MAP-1. • Establish practices for AI systems’ oversight in accordance with policies developed in GOVERN-1. • Define and develop training materials for relevant AI Actors about AI system performance, context of use, known limitations and negative impacts, and suggested warning labels. • Include relevant AI Actors in AI system prototyping and testing activities. Conduct testing activities under scenarios similar to deployment conditions. • Evaluate AI system oversight practices for validity and reliability. When oversight practices undergo extensive updates or adaptations, retest, evaluate results, and course correct as necessary. • Verify that model documents contain interpretable descriptions of system mechanisms, enabling oversight personnel to make informed, risk-based decisions about system risks."
MAP 4.1,"Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.","Technologies and personnel from third-parties are another potential sources of risk to consider during AI risk management activities. Such risks may be difficult to map since risk priorities or tolerances may not be the same as the deployer organization. For example, the use of pre-trained models, which tend to rely on large uncurated dataset or often have undisclosed origins, has raised concerns about privacy, bias, and unanticipated effects along with possible introduction of increased levels of statistical uncertainty, difficulty with reproducibility, and issues with scientific validity.","• Review audit reports, testing results, product roadmaps, warranties, terms of service, end user license agreements, contracts, and other documentation related to third-party entities to assist in value assessment and risk management activities. • Review third-party software release schedules and software change management plans (hotfixes, patches, updates, forward- and backward- compatibility guarantees) for irregularities that may contribute to AI system risks. 86 of 142 • Inventory third-party material (hardware, open-source software, foundation models, open source data, proprietary software, proprietary data, etc.) required for system implementation and maintenance. • Review redundancies related to third-party technology and personnel to assess potential risks due to lack of adequate support."
MAP 4.2,Internal risk controls for components of the AI system including third-party AI technologies are identified and documented.,"In the course of their work, AI actors often utilize open-source, or otherwise freely available, third-party technologies – some of which may have privacy, bias, and security risks. Organizations may consider internal risk controls for these technology sources and build up practices for evaluating third-party material prior to deployment.","• Track third-parties preventing or hampering risk-mapping as indications of increased risk. • Supply resources such as model documentation templates and software safelists to assist in third-party technology inventory and approval activities. • Review third-party material (including data and models) for risks related to bias, data privacy, and security vulnerabilities. • Apply traditional technology risk controls – such as procurement, security, and data privacy controls – to all acquired third-party technologies."
MAP 5.1,"Likelihood and magnitude of each identified impact (both potentially beneficial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identified and documented.","AI actors can evaluate, document and triage the likelihood of AI system impacts identified in",
MAP 5.2,"Practices and personnel for supporting regular engagement with relevant AI actors and integrating feedback about positive, negative, and unanticipated impacts are in place and documented.","AI systems are socio-technical in nature and can have positive, neutral, or negative implications that extend beyond their stated purpose. Negative impacts can be wide- ranging and affect individuals, groups, communities, organizations, and society, as well as the environment and national security. Organizations can create a baseline for system monitoring to increase opportunities for detecting emergent risks. After an AI system is deployed, engaging different stakeholder groups – who may be aware of, or experience, benefits or negative impacts that are unknown to AI actors involved in the design, development and deployment activities – allows organizations to understand and monitor system benefits and potential negative impacts more readily.","• Establish and document stakeholder engagement processes at the earliest stages of system formulation to identify potential impacts from the AI system on individuals, groups, communities, organizations, and society. • Employ methods such as value sensitive design (VSD) to identify misalignments between organizational and societal values, and system implementation and impact. • Identify approaches to engage, capture, and incorporate input from system end users and other key stakeholders to assist with continuous monitoring for potential impacts and emergent risks. 90 of 142 • Incorporate quantitative, qualitative, and mixed methods in the assessment and documentation of potential impacts to individuals, groups, communities, organizations, and society. • Identify a team (internal or external) that is independent of AI design and development functions to assess AI system benefits, positive and negative impacts and their likelihood and magnitude. • Evaluate and document stakeholder feedback to assess potential impacts for actionable insights regarding trustworthiness characteristics and changes in design approaches and principles. • Develop TEVV procedures that incorporate socio-technical elements and methods and plan to normalize across organizational culture. Regularly review and refine TEVV processes."
MEASURE 1.1,Approaches and metrics for measurement of AI risks enumerated during the Map function are selected for implementation starting with the most significant AI risks. The risks or trustworthiness characteristics that will not – or cannot – be measured are properly documented.,"The development and utility of trustworthy AI systems depends on reliable measurements and evaluations of underlying technologies and their use. Compared with traditional software systems, AI technologies bring new failure modes, inherent dependence on training data and methods which directly tie to data quality and representativeness. Additionally, AI systems are inherently socio-technical in nature, meaning they are influenced by societal dynamics and human behavior. AI risks – and benefits – can emerge from the interplay of technical aspects combined with societal factors related to how a system is used, its interactions with other AI systems, who operates it, and the social context in which it is deployed. In other words, What should be measured depends on the purpose, audience, and needs of the evaluations. These two factors influence selection of approaches and metrics for measurement of AI risks enumerated during the Map function. The AI landscape is evolving and so are the methods and metrics for AI measurement. The evolution of metrics is key to maintaining efficacy of the measures.","• Establish approaches for detecting, tracking and measuring known risks, errors, incidents or negative impacts. • Identify testing procedures and metrics to demonstrate whether or not the system is fit for purpose and functioning as claimed. • Identify testing procedures and metrics to demonstrate AI system trustworthiness • Define acceptable limits for system performance (e.g. distribution of errors), and include course correction suggestions if/when the system performs beyond acceptable limits. • Define metrics for, and regularly assess, AI actor competency for effective system operation, • Identify transparency metrics to assess whether stakeholders have access to necessary information about system design, development, deployment, use, and evaluation. • Utilize accountability metrics to determine whether AI designers, developers, and deployers maintain clear and transparent lines of responsibility and are open to inquiries. • Document metric selection criteria and include considered but unused metrics. 93 of 142 • Monitor AI system external inputs including training data, models developed for other contexts, system components reused from other contexts, and third-party tools and resources. • Report metrics to inform assessments of system generalizability and reliability. • Assess and document pre- vs post-deployment system performance. Include existing and emergent risks. • Document risks or trustworthiness characteristics identified in the Map function that will not be measured, including justification for non- measurement."
MEASURE 1.2,Appropriateness of AI metrics and effectiveness of existing controls is regularly assessed and updated including reports of errors and impacts on affected communities.,"Different AI tasks, such as neural networks or natural language processing, benefit from different evaluation techniques. Use-case and particular settings in which the AI system is used also affects appropriateness of the evaluation techniques. Changes in the operational settings, data drift, model drift are among factors that suggest regularly assessing and updating appropriateness of AI metrics and their effectiveness can enhance reliability of AI system measurements.","• Assess external validity of all measurements (e.g., the degree to which measurements taken in one context can generalize to other contexts). • Assess effectiveness of existing metrics and controls on a regular basis throughout the AI system lifecycle. • Document reports of errors, incidents and negative impacts and assess sufficiency and efficacy of existing metrics for repairs, and upgrades • Develop new metrics when existing metrics are insufficient or ineffective for implementing repairs and upgrades. • Develop and utilize metrics to monitor, characterize and track external inputs, including any third-party tools. • Determine frequency and scope for sharing metrics and related information with stakeholders and impacted communities. • Utilize stakeholder feedback processes established in the Map function to capture, act upon and share feedback from end users and potentially impacted communities. • Collect and report software quality metrics such as rates of bug occurrence and severity, time to response, and time to repair (See Manage 4.3)."
MEASURE 1.3,"Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates. Domain experts, users, AI actors external to the team that developed or deployed the AI system, and affected communities are consulted in support of assessments as necessary per organizational risk tolerance.","The current AI systems are brittle, the failure modes are not well described, and the systems are dependent on the context in which they were developed and do not transfer well outside of the training environment. A reliance on local evaluations will be necessary along with a continuous monitoring of these systems. Measurements that extend beyond classical measures (which average across test cases) or expand to focus on pockets of failures where there are potentially significant costs can improve the reliability of risk management activities. Feedback from affected communities about how AI systems are being used can make AI evaluation purposeful. Involving internal experts who did not serve as front-line developers for the system and/or independent assessors regular assessments of AI systems helps a fulsome characterization of AI systems’ performance and trustworthiness . 96 of 142","• Evaluate TEVV processes regarding incentives to identify risks and impacts. • Utilize separate testing teams established in the Govern function (2.1 and 4.1) to enable independent decisions and course-correction for AI systems. Track processes and measure and document change in performance. • Plan and evaluate AI system prototypes with end user populations early and continuously in the AI lifecycle. Document test outcomes and course correct. • Assess independence and stature of TEVV and oversight AI actors, to ensure they have the required levels of independence and resources to perform assurance, compliance, and feedback tasks effectively • Evaluate interdisciplinary and demographically diverse internal team established in"
MEASURE 2.1,"Test sets, metrics, and details about the tools used during test, evaluation, validation, and verification (TEVV) are documented.","Documenting measurement approaches, test sets, metrics, processes and materials used, and associated details builds foundation upon which to build a valid, reliable measurement process. Documentation enables repeatability and consistency, and can enhance AI risk management decisions.","• Leverage existing industry best practices for transparency and documentation of all possible aspects of measurements. Examples include: data sheet for data sets, model cards • Regularly assess the effectiveness of tools used to document measurement approaches, test sets, metrics, processes and materials used • Update the tools as needed"
MEASURE 2.2,Evaluations involving human subjects meet applicable requirements (including human subject protection) and are representative of the relevant population.,"Measurement and evaluation of AI systems often involves testing with human subjects or using data captured from human subjects. Protection of human subjects is required by law when carrying out federally funded research, and is a domain specific requirement for some disciplines. Standard human subjects protection procedures include protecting the welfare 99 of 142 and interests of human subjects, designing evaluations to minimize risks to subjects, and completion of mandatory training regarding legal requirements and expectations. Evaluations of AI system performance that utilize human subjects or human subject data should reflect the population within the context of use. AI system activities utilizing non- representative data may lead to inaccurate assessments or negative and harmful outcomes. It is often difficult – and sometimes impossible, to collect data or perform evaluation tasks that reflect the full operational purview of an AI system. Methods for collecting, annotating, or using these data can also contribute to the challenge. To counteract these challenges, organizations can connect human subjects data collection, and dataset practices, to AI system contexts and purposes and do so in close collaboration with AI Actors from the relevant domains.","• Follow human subjects research requirements as established by organizational and disciplinary requirements, including informed consent and compensation, during dataset collection activities. • Analyze differences between intended and actual population of users or data subjects, including likelihood for errors, incidents or negative impacts. • Utilize disaggregated evaluation methods (e.g. by race, age, gender, ethnicity, ability, region) to improve AI system performance when deployed in real world settings. • Establish thresholds and alert procedures for dataset representativeness within the context of use. • Construct datasets in close collaboration with experts with knowledge of the context of use. • Follow intellectual property and privacy rights related to datasets and their use, including for the subjects represented in the data. • Evaluate data representativeness through • investigating known failure modes, • assessing data quality and diverse sourcing, • applying public benchmarks, • traditional bias testing, • chaos engineering, • stakeholder feedback • Use informed consent for individuals providing data used in system testing and evaluation."
MEASURE 2.3,AI system performance or assurance criteria are measured qualitatively or quantitatively and demonstrated for conditions similar to deployment setting(s). Measures are documented.,"The current risk and impact environment suggests AI system performance estimates are insufficient and require a deeper understanding of deployment context of use. Computationally focused performance testing and evaluation schemes are restricted to test data sets and in silico techniques. These approaches do not directly evaluate risks and impacts in real world environments and can only predict what might create impact based on an approximation of expected AI use. To properly manage risks, more direct information is necessary to understand how and under what conditions deployed AI creates impacts, who is most likely to be impacted, and what that experience is like.","• Conduct regular and sustained engagement with potentially impacted communities • Maintain a demographically diverse and multidisciplinary and collaborative internal team 102 of 142 • Regularly test and evaluate systems in non-optimized conditions, and in collaboration with AI actors in user interaction and user experience (UI/UX) roles. • Evaluate feedback from stakeholder engagement activities, in collaboration with human factors and socio-technical experts. • Collaborate with socio-technical, human factors, and UI/UX experts to identify notable characteristics in context of use that can be translated into system testing scenarios. • Measure AI systems prior to deployment in conditions similar to expected scenarios. • Measure and document performance criteria such as validity (false positive rate, false negative rate, etc.) and efficiency (training times, prediction latency, etc.) related to ground truth within the deployment context of use. • Measure assurance criteria such as AI actor competency and experience. • Document differences between measurement setting and the deployment environment(s)."
MEASURE 2.4,The functionality and behavior of the AI system and its components – as identified in the MAP function – are monitored when in production.,"AI systems may encounter new issues and risks while in production as the environment evolves over time. This effect, often referred to as “drift”, means AI systems no longer meet the assumptions and limitations of the original design. Regular monitoring allows AI Actors to monitor the functionality and behavior of the AI system and its components – as identified in the MAP function - and enhance the speed and efficacy of necessary system interventions.","• Monitor and document how metrics and performance indicators observed in production differ from the same metrics collected during pre-deployment testing. When differences are observed, consider error propagation and feedback loop risks. 104 of 142 • Utilize hypothesis testing or human domain expertise to measure monitored distribution differences in new input or output data relative to test environments • Monitor for anomalies using approaches such as control limits, confidence intervals, integrity constraints and ML algorithms. When anomalies are observed, consider error propagation and feedback loop risks. • Verify alerts are in place for when distributions in new input data or generated predictions observed in production differ from pre-deployment test outcomes, or when anomalies are detected. • Assess the accuracy and quality of generated outputs against new collected ground- truth information as it becomes available. • Utilize human review to track processing of unexpected data and reliability of generated outputs; warn system users when outputs may be unreliable. Verify that human overseers responsible for these processes have clearly defined responsibilities and training for specified tasks. • Collect uses cases from the operational environment for system testing and monitoring activities in accordance with organizational policies and regulatory or disciplinary requirements (e.g. informed consent, institutional review board approval, human research protections),"
MEASURE 2.5,The AI system to be deployed is demonstrated to be valid and reliable. Limitations of the generalizability beyond the conditions under which the technology was developed are documented.,"An AI system that is not validated or that fails validation may be inaccurate or unreliable or may generalize poorly to data and settings beyond its training, creating and increasing AI risks and reducing trustworthiness. AI Actors can improve system validity by creating processes for exploring and documenting system limitations. This includes broad consideration of purposes and uses for which the system was not designed. Validation risks include the use of proxies or other indicators that are often constructed by AI development teams to operationalize phenomena that are either not directly observable or measurable (e.g, fairness, hireability, honesty, propensity to commit a crime). Teams can mitigate these risks by demonstrating that the indicator is measuring the concept it claims to measure (also known as construct validity). Without this and other types of validation, various negative properties or impacts may go undetected, including the presence of confounding variables, potential spurious correlations, or error propagation and its potential impact on other interconnected systems.","• Define the operating conditions and socio-technical context under which the AI system will be validated. • Define and document processes to establish the system’s operational conditions and limits. • Establish or identify, and document approaches to measure forms of validity, including: • construct validity (the test is measuring the concept it claims to measure) • internal validity (relationship being tested is not influenced by other factors or variables) • external validity (results are generalizable beyond the training condition) • the use of experimental design principles and statistical analyses and modeling. • Assess and document system variance. Standard approaches include confidence intervals, standard deviation, standard error, bootstrapping, or cross-validation. • Establish or identify, and document robustness measures. • Establish or identify, and document reliability measures. • Establish practices to specify and document the assumptions underlying measurement models to ensure proxies accurately reflect the concept being measured. • Utilize standard software testing approaches (e.g. unit, integration, functional and chaos testing, computer-generated test cases, etc.) • Utilize standard statistical methods to test bias, inferential associations, correlation, and covariance in adopted measurement models. 106 of 142 • Utilize standard statistical methods to test variance and reliability of system outcomes. • Monitor operating conditions for system performance outside of defined limits. • Identify TEVV approaches for exploring AI system limitations, including testing scenarios that differ from the operational environment. Consult experts with knowledge of specific context of use. • Define post-alert actions. Possible actions may include: • alerting other relevant AI actors before action, • requesting subsequent human review of action, • alerting downstream users and stakeholder that the system is operating outside it’s defined validity limits, • tracking and mitigating possible error propagation • action logging • Log input data and relevant system configuration information whenever there is an attempt to use the system beyond its well-defined range of system validity. • Modify the system over time to extend its range of system validity to new operating conditions."
MEASURE 2.6,"AI system is evaluated regularly for safety risks – as identified in the MAP function. The AI system to be deployed is demonstrated to be safe, its residual negative risk does not exceed the risk tolerance, and can fail safely, particularly if made to operate beyond its knowledge limits. Safety metrics implicate system reliability and robustness, real-time monitoring, and response times for AI system failures.","Many AI systems are being introduced into settings such as transportation, manufacturing or security, where failures may give rise to various physical or environmental harms. AI systems that may endanger human life, health, property or the environment are tested thoroughly prior to deployment, and are regularly evaluated to confirm the system is safe during normal operations, and in settings beyond its proposed use and knowledge limits. Measuring activities for safety often relate to exhaustive testing in development and deployment contexts, understanding the limits of a system’s reliable, robust, and safe behavior, and real-time monitoring of various aspects of system performance. These activities are typically conducted along with other risk mapping, management, and governance tasks such as avoiding past failed designs, establishing and rehearsing incident response plans that enable quick responses to system problems, the instantiation of redundant functionality to cover failures, and transparent and accountable governance. System safety incidents or failures are frequently reported to be related to organizational dynamics and culture. Independent auditors may bring important independent perspectives for reviewing evidence of AI system safety. 108 of 142","• Thoroughly measure system performance in development and deployment contexts, and under stress conditions. • Employ test data assessments and simulations before proceeding to production testing. Track multiple performance quality and error metrics. • Stress-test system performance under likely scenarios (e.g., concept drift, high load) and beyond known limitations, in consultation with domain experts. • Test the system under conditions similar to those related to past known incidents or near-misses and measure system performance and safety characteristics • Apply chaos engineering approaches to test systems in extreme conditions and gauge unexpected responses. • Document the range of conditions under which the system has been tested and demonstrated to fail safely. • Measure and monitor system performance in real-time to enable rapid response when AI system incidents are detected. • Collect pertinent safety statistics (e.g., out-of-range performance, incident response times, system down time, injuries, etc.) in anticipation of potential information sharing with impacted communities or as required by AI system oversight personnel. • Align measurement to the goal of continuous improvement. Seek to increase the range of conditions under which the system is able to fail safely through system modifications in response to in-production testing and events. • Document, practice and measure incident response plans for AI system incidents, including measuring response and down times. • Compare documented safety testing and monitoring information with established risk tolerances on an on-going basis. • Consult MANAGE for detailed information related to managing safety risks."
MEASURE 2.7,AI system security and resilience – as identified in the MAP function – are evaluated and documented.,"AI systems, as well as the ecosystems in which they are deployed, may be said to be resilient if they can withstand unexpected adverse events or unexpected changes in their environment or use – or if they can maintain their functions and structure in the face of internal and external change and degrade safely and gracefully when this is necessary. Common security concerns relate to adversarial examples, data poisoning, and the exfiltration of models, training data, or other intellectual property through AI system endpoints. AI systems that can maintain confidentiality, integrity, and availability through protection mechanisms that prevent unauthorized access and use may be said to be secure. Security and resilience are related but distinct characteristics. While resilience is the ability to return to normal function after an unexpected adverse event, security includes resilience but also encompasses protocols to avoid, protect against, respond to, or recover 110 of 142 from attacks. Resilience relates to robustness and encompasses unexpected or adversarial use (or abuse or misuse) of the model or data.","• Establish and track AI system security tests and metrics (e.g., red-teaming activities, frequency and rate of anomalous events, system down-time, incident response times, time-to-bypass, etc.). • Use red-team exercises to actively test the system under adversarial or stress conditions, measure system response, assess failure modes or determine if system can return to normal function after an unexpected adverse event. • Document red-team exercise results as part of continuous improvement efforts, including the range of security test conditions and results. • Use red-teaming exercises to evaluate potential mismatches between claimed and actual system performance. • Use countermeasures (e.g, authentication, throttling, differential privacy, robust ML approaches) to increase the range of security conditions under which the system is able to return to normal function. • Modify system security procedures and countermeasures to increase robustness and resilience to attacks in response to testing and events experienced in production. • Verify that information about errors and attack patterns is shared with incident databases, other organizations with similar systems, and system users and stakeholders (MANAGE-4.1). • Develop and maintain information sharing practices with AI actors from other organizations to learn from common attacks. • Verify that third party AI resources and personnel undergo security audits and screenings. Risk indicators may include failure of third parties to provide relevant security information. • Utilize watermarking technologies as a deterrent to data and model extraction attacks."
MEASURE 2.8,Risks associated with transparency and accountability – as identified in the MAP function – are examined and documented.,"Transparency enables meaningful visibility into entire AI pipelines, workflows, processes or organizations and decreases information asymmetry between AI developers and operators and other AI Actors and impacted communities. Transparency is a central element of effective AI risk management that enables insight into how an AI system is working, and the ability to address risks if and when they emerge. The ability for system users, individuals, or impacted communities to seek redress for incorrect or problematic AI system outcomes is 112 of 142 one control for transparency and accountability. Higher level recourse processes are typically enabled by lower level implementation efforts directed at explainability and interpretability functionality. See Measure 2.9. Transparency and accountability across organizations and processes is crucial to reducing AI risks. Accountable leadership – whether individuals or groups – and transparent roles, responsibilities, and lines of communication foster and incentivize quality assurance and risk management activities within organizations. Lack of transparency complicates measurement of trustworthiness and whether AI systems or organizations are subject to effects of various individual and group biases and design blindspots and could lead to diminished user, organizational and community trust, and decreased overall system value. Enstating accountable and transparent organizational structures along with documenting system risks can enable system improvement and risk management efforts, allowing AI actors along the lifecycle to identify errors, suggest improvements, and figure out new ways to contextualize and generalize AI system features and outcomes.","• Instrument the system for measurement and tracking, e.g., by maintaining histories, audit logs and other information that can be used by AI actors to review and evaluate possible sources of error, bias, or vulnerability. • Calibrate controls for users in close collaboration with experts in user interaction and user experience (UI/UX), human computer interaction (HCI), and/or human-AI teaming. • Test provided explanations for calibration with different audiences including operators, end users, decision makers and decision subjects (individuals for whom decisions are being made), and to enable recourse for consequential system decisions that affect end users or subjects. • Measure and document human oversight of AI systems: • Document the degree of oversight that is provided by specified AI actors regarding AI system output. • Maintain statistics about downstream actions by end users and operators such as system overrides. • Maintain statistics about and document reported errors or complaints, time to respond, and response types. • Maintain and report statistics about adjudication activities. • Track, document, and measure organizational accountability regarding AI systems via policy exceptions and escalations, and document “go” and “no/go” decisions made by accountable parties. • Track and audit the effectiveness of organizational mechanisms related to AI risk management, including: 113 of 142 • Lines of communication between AI actors, executive leadership, users and impacted communities. • Roles and responsibilities for AI actors and executive leadership. • Organizational accountability roles, e.g., chief model risk officers, AI oversight committees, responsible or ethical AI directors, etc."
MEASURE 2.9,"The AI model is explained, validated, and documented, and AI system output is interpreted within its context – as identified in the MAP function – and to inform responsible use and governance.","Explainability and interpretability assist those operating or overseeing an AI system, as well as users of an AI system, to gain deeper insights into the functionality and trustworthiness of the system, including its outputs. Explainable and interpretable AI systems offer information that help end users understand the purposes and potential impact of an AI system. Risk from lack of explainability may be managed by describing how AI systems function, with descriptions tailored to individual differences such as the user’s role, knowledge, and skill level. Explainable systems can be debugged and monitored more easily, and they lend themselves to more thorough documentation, audit, and governance. Risks to interpretability often can be addressed by communicating a description of why an AI system made a particular prediction or recommendation. Transparency, explainability, and interpretability are distinct characteristics that support each other. Transparency can answer the question of “what happened”. Explainability can answer the question of “how” a decision was made in the system. Interpretability can answer the question of “why” a decision was made by the system and its meaning or context to the user.","• Verify systems are developed to produce explainable models, post-hoc explanations and audit logs. • When possible or available, utilize approaches that are inherently explainable, such as traditional and penalized generalized linear models , decision trees, nearest-neighbor and prototype-based approaches, rule-based models, generalized additive models , explainable boosting machines and neural additive models. • Test explanation methods and resulting explanations prior to deployment to gain feedback from relevant AI actors, end users, and potentially impacted individuals or groups about whether explanations are accurate, clear, and understandable. • Document AI model details including model type (e.g., convolutional neural network, reinforcement learning, decision tree, random forest, etc.) data features, training algorithms, proposed uses, decision thresholds, training data, evaluation data, and ethical considerations. • Establish, document, and report performance and error metrics across demographic groups and other segments relevant to the deployment context. 115 of 142 • Explain systems using a variety of methods, e.g., visualizations, model extraction, feature importance, and others. Since explanations may not accurately summarize complex systems, test explanations according to properties such as fidelity, consistency, robustness, and interpretability. • Assess the characteristics of system explanations according to properties such as fidelity (local and global), ambiguity, interpretability, interactivity, consistency, and resilience to attack/manipulation. • Test the quality of system explanations with end-users and other groups. • Secure model development processes to avoid vulnerability to external manipulation such as gaming explanation processes. • Test for changes in models over time, including for models that adjust in response to production data. • Use transparency tools such as data statements and model cards to document explanatory and validation information."
MEASURE 2.10,Privacy risk of the AI system – as identified in the MAP function – is examined and documented.,"Privacy refers generally to the norms and practices that help to safeguard human autonomy, identity, and dignity. These norms and practices typically address freedom from intrusion, limiting observation, or individuals’ agency to consent to disclosure or control of facets of their identities (e.g., body, data, reputation). Privacy values such as anonymity, confidentiality, and control generally should guide choices for AI system design, development, and deployment. Privacy-related risks may influence security, bias, and transparency and come with tradeoffs with these other characteristics. Like safety and security, specific technical features of an AI system may promote or reduce privacy. AI systems can also present new risks to privacy by allowing inference to identify individuals or previously private information about individuals. Privacy-enhancing technologies (“PETs”) for AI, as well as data minimizing methods such as de-identification and aggregation for certain model outputs, can support design for privacy- enhanced AI systems. Under certain conditions such as data sparsity, privacy enhancing techniques can result in a loss in accuracy, impacting decisions about fairness and other values in certain domains.","• Specify privacy-related values, frameworks, and attributes that are applicable in the context of use through direct engagement with end users and potentially impacted groups and communities. • Document collection, use, management, and disclosure of personally sensitive information in datasets, in accordance with privacy and data governance policies 118 of 142 • Quantify privacy-level data aspects such as the ability to identify individuals or groups (e.g. k-anonymity metrics, l-diversity, t-closeness). • Establish and document protocols (authorization, duration, type) and access controls for training sets or production data containing personally sensitive information, in accordance with privacy and data governance policies. • Monitor internal queries to production data for detecting patterns that isolate personal records. • Monitor PSI disclosures and inference of sensitive or legally protected attributes • Assess the risk of manipulation from overly customized content. Evaluate information presented to representative users at various points along axes of difference between individuals (e.g. individuals of different ages, genders, races, political affiliation, etc.). • Use privacy-enhancing techniques such as differential privacy, when publicly sharing dataset information. • Collaborate with privacy experts, AI end users and operators, and other domain experts to determine optimal differential privacy metrics within contexts of use."
